db_id,source_ref,name,state,city,lat,lng,interstate,exit_number,parking_spaces,overnight_eligible,currently_published,currently_has_coord,receives_map_pin
6dbef08c-6306-4db2-bccf-5da49a0a2ac8,325,Love's Travel Stop #325,GA,Tifton,31.415715,-83.503054,I-75,59,115,true,pub,coord,true
7b969fa7-19c1-4bd2-b0c5-9663b9007464,308,Love's Travel Stop #308,NC,Marion,35.657872,-81.96337,I-40,86,48,true,pub,nocoord,true
371724fa-2260-4d55-bbc7-0ddeeb680138,550,Love's Travel Stop #550,GA,Valdosta,30.774407,-83.298368,I-75,13,112,true,pub,coord,true
bd6dadb7-6053-4d42-a0e9-028f9d319b5c,645,Love's Travel Stop #645,MI,Frenchtown,41.964765,-83.345143,I-75,18/Nadeau Rd,85,true,pub,nocoord,true
8e2421bd-15c8-49f2-8442-874641d24719,743,Love's Travel Stop #743,MI,Bridgeport,43.348709,-83.861776,I-75,144,102,true,pub,nocoord,true
493f87f4-8dca-4681-9d42-1da6c4646855,470,Love's Travel Stop #470 (Jasper),FL,Jasper,30.452116,-82.933564,I-75,451/US Hwy-129,118,true,pub,nocoord,true
c9ebaa0f-5ca1-44d9-91c3-1965fdd9f9a4,724,Love's Travel Stop #724 (Lake City),FL,Lake City,30.002627,-82.598483,I-75,414/US Hwy-41/441,106,true,pub,nocoord,true
89c2531c-300b-4d19-b9f8-e4f065f2d605,338,Love's Travel Stop #338,GA,Richmond Hill,31.960662,-81.331564,I-95,90,140,true,unpub,nocoord,true
a7cd01f6-bc31-4983-8bb6-89a2d6360e0f,893,Love's Travel Stop #893,GA,Garden City,32.103201,-81.194401,,,97,true,unpub,nocoord,true
cb44453b-2e91-403c-b840-fa0ebe9c211e,405,Love's Travel Stop #405,GA,Brunswick,31.137752,-81.571797,I-95,29,78,true,unpub,nocoord,true
b2af1bed-36cf-4497-8e3d-d2c2209fca12,740,Love's Travel Stop #740,SC,Yemassee,32.705457,-80.874488,I-95,38/Hwy 68,52,true,unpub,nocoord,true
29e9199c-a535-47dd-8d12-887485484bc3,828,Love's Travel Stop #828,FL,Jacksonville,30.463245,-81.673875,I-295,33/Duval Rd,77,true,unpub,nocoord,true
8c6afd87-8cac-4a4e-9490-fae510386cdf,603,Love's Travel Stop #603,FL,Jacksonville,30.516861,-81.632633,I-95,366,82,true,unpub,nocoord,true
a5c289a1-177f-479f-9e18-84571c3d8190,790,Love's Travel Stop #790,SC,Summerton,33.591813,-80.355763,I-95,108/Bluff Blvd.,97,true,unpub,nocoord,true
fe6917b6-5da4-42db-a6ab-e533a1101e62,363,Love's Travel Stop #363 (Ocala),FL,Ocala,29.267562,-82.198425,I-75,358,70,true,pub,nocoord,true
3a3394cc-5ac2-4f22-bd59-158f71d062c9,708,Love's Travel Stop #708 (Bushnell),FL,Bushnell,28.66815,-82.147216,I-75,314/CR-48,99,true,pub,nocoord,true
aab7a84d-f5c3-436a-a8c4-5b3c181f2ed2,894,Love's Travel Stop #894,FL,St Augustine,29.745791,-81.349601,I-95,305/FL-206,64,true,unpub,nocoord,true
22da63bd-9ee8-45b1-b8cd-ada2c8cb7899,371,Love's Travel Stop #371,SC,Dillon,34.419584,-79.41594,I-95,190,92,true,unpub,nocoord,true
ad67dd4a-685b-4d62-be05-0b97f31c8e5f,316,Love's Travel Stop #316,FL,Ormond Beach,29.339663,-81.13461,I-95,273,79,true,unpub,nocoord,true
29c0000b-e9ee-401d-a502-417243b91f6c,412,Love's Travel Stop #412,NC,Dunn,35.339906,-78.55693,I-95,77,55,true,unpub,nocoord,true
5f6849f3-fd15-4de2-93e7-69dd2003af1a,495,Love's Travel Stop #495,FL,North Fort Myers,26.71396,-81.81507,I-75,143,96,true,pub,nocoord,true
5a5fa4df-c324-4405-bdb6-977ffb7f01a5,317,Love's Travel Stop #317,VA,Skippers,36.605447,-77.560647,I-95,4,72,true,unpub,nocoord,true
025700b8-af4a-4322-96c1-64fff65ec6b4,435,Love's Travel Stop #435 (Ruther Glen),VA,Ruther Glen,37.937868,-77.465815,I-95,104,52,true,unpub,nocoord,true
f31f9d24-b631-4513-869b-d943b30882d3,467,Love's Travel Stop #467,FL,Fort Pierce,27.445606,-80.398175,I-95,131,130,true,unpub,nocoord,true
d875c6d8-cf43-4d30-a76f-53bed4397cb3,415,Love's Travel Stop #415,FL,Fort Pierce,27.413167,-80.397701,I-95,129,87,true,unpub,nocoord,true
