id	store_number	state	city	category_slug	published	has_coord	name
5f6849f3-fd15-4de2-93e7-69dd2003af1a	495	FL	North Fort Myers	truck-stops	pub	nocoord	Love's Travel Stop #495
8c6afd87-8cac-4a4e-9490-fae510386cdf	603	FL	Jacksonville	truck-stops	unpub	nocoord	Love's Travel Stop #603
3a3394cc-5ac2-4f22-bd59-158f71d062c9	708	FL	Bushnell	truck-stops	pub	nocoord	Love's Travel Stop #708 (Bushnell)
c9ebaa0f-5ca1-44d9-91c3-1965fdd9f9a4	724	FL	Lake City	truck-stops	pub	nocoord	Love's Travel Stop #724 (Lake City)
29e9199c-a535-47dd-8d12-887485484bc3	828	FL	Jacksonville	truck-stops	unpub	nocoord	Love's Travel Stop #828
aab7a84d-f5c3-436a-a8c4-5b3c181f2ed2	894	FL	Saint Augustine	truck-stops	unpub	nocoord	Love's Travel Stop #894
2f8d337f-56bf-4d5d-bfca-44de796066ca	363	FL	Ocala	tire-repair	pub	nocoord	Love's Truck Care - Ocala (#363)
39dbba87-eb5b-4ec6-86e2-ce9a469dbed0	495	FL	North Fort Myers	tire-repair	pub	nocoord	Love's Truck Care #495 - North Fort Myers
fbba2a2b-9070-4943-9256-60b01d953f51	708	FL	Bushnell	tire-repair	pub	nocoord	Love's Truck Tire Care - Bushnell (#708)
7f70f558-89b5-4209-9bc2-2251ff1b4b04		FL	Fort Pierce	truck-washes	unpub	nocoord	Love's Truck Wash - Fort Pierce
dd7fbadd-a3f0-4c41-a4dd-8cb7a57ad7ba	550	GA	Valdosta	cat-scales	pub	coord	CAT Scale — Love's Travel Stop #550, Valdosta
c0c4681b-ae70-4873-8240-f1542361338e	698	GA	Macon	cat-scales	pub	coord	CAT Scale — Love's Travel Stop #698, Macon
78e6f4ee-fc3b-4c79-8946-2f2bc602a54a	735	GA	Calhoun	cat-scales	pub	coord	CAT Scale — Love's Travel Stop #735, Calhoun
ab60f5a4-bfb6-4841-bc60-dc8414412eee	405	GA	Brunswick	cat-scales	unpub	nocoord	CAT Scale at Love's Brunswick (#405)
ca5e9f7f-ad38-416d-a923-c86fe97befd8	893	GA	Garden City	cat-scales	unpub	nocoord	CAT Scale at Love's Garden City (#893)
38cc0860-23d0-41f4-acee-987625766068	338	GA	Richmond Hill	cat-scales	unpub	nocoord	CAT Scale at Love's Richmond Hill (#338)
525d165f-3020-48a5-a584-8bf689288500	906	GA	Brunswick	tire-repair	unpub	nocoord	Love's Speedco #906
4c23e030-e4d3-473c-a3b8-cfafc1599bc4	307	GA	Jackson	truck-stops	pub	coord	Love's Travel Stop #307
6dbef08c-6306-4db2-bccf-5da49a0a2ac8	325	GA	Tifton	truck-stops	pub	coord	Love's Travel Stop #325
89c2531c-300b-4d19-b9f8-e4f065f2d605	338	GA	Richmond Hill	truck-stops	unpub	nocoord	Love's Travel Stop #338
a45b0906-ec99-4785-bfd6-afae328bc2aa	359	GA	Emerson	truck-stops	pub	coord	Love's Travel Stop #359
cb44453b-2e91-403c-b840-fa0ebe9c211e	405	GA	Brunswick	truck-stops	unpub	nocoord	Love's Travel Stop #405
371724fa-2260-4d55-bbc7-0ddeeb680138	550	GA	Valdosta	truck-stops	pub	coord	Love's Travel Stop #550
ed2d89b5-609b-4e0e-91fa-bde1dbd93533	698	GA	Macon	truck-stops	pub	coord	Love's Travel Stop #698
15f5c84b-8284-455e-8928-c688f5a308ab	735	GA	Calhoun	truck-stops	pub	coord	Love's Travel Stop #735
f4591f0b-087b-4856-8957-5a7e020fa209	801	GA	Cordele	truck-stops	pub	coord	Love's Travel Stop #801
a7cd01f6-bc31-4983-8bb6-89a2d6360e0f	893	GA	Garden City	truck-stops	unpub	nocoord	Love's Travel Stop #893
ff5956ff-3364-46a8-b036-0c8c8a414ad0	325	GA	Tifton	tire-repair	pub	coord	Love's Truck Care - Tifton #325
3415b15d-c29c-4fcf-b263-3c759162c45c	928	GA	Jackson	tire-repair	pub	coord	Love's Truck Care / Speedco #928
54a65451-113a-452a-9760-bcf055bb5769	451	IN	Whiteland	cat-scales	pub	nocoord	CAT Scale (at Love's Travel Stop #451)
98192ea9-07b8-41aa-8b7d-82a96752bd04	874	IN	Lafayette	cat-scales	unpub	nocoord	CAT Scale at Love's Lafayette #874
f170989d-6c5b-4de2-b71e-ca56877a43b9	417	IN	Gary	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #417 (Grant Street, Gary)
27490a78-a0da-432e-9f3b-7d351f0b1ef4	459	IN	Whitestown	cat-scales	pub	nocoord	CAT Scale at Love's Travel Stop #459
34933f4a-2f1f-46aa-ae03-e94c7050a0a3	952	IN	Whiteland	tire-repair	pub	nocoord	Love's Speedco #952 (Whiteland)
786bf473-2404-4915-bd74-a05c7c07989a	417	IN	Gary	truck-stops	pub	nocoord	Love's Travel Stop #417 (Grant Street)
1822b81f-648c-4711-a265-fe1800ccb423	451	IN	Whiteland	truck-stops	pub	nocoord	Love's Travel Stop #451
f6502eed-0e6a-40c4-a5df-d5a0068ef809	459	IN	Whitestown	truck-stops	pub	nocoord	Love's Travel Stop #459
76e36705-8140-4902-8922-1ae83351ce7a	874	IN	Lafayette	truck-stops	pub	nocoord	Love's Travel Stop #874
be5425db-a39a-4219-a80e-88900202f3f7		IN	Whitestown	roadside-service	pub	nocoord	Love's Truck Care - Whitestown
ded68cd3-cdaa-4af2-9cbd-df5f6aaf354c	874	IN	Lafayette	tire-repair	pub	nocoord	Love's Truck Care (Speedco) at Lafayette #874
a8d7a25d-dbe1-4cf0-87ba-640ca6973894	40	KY	Corbin	tire-repair	unpub	nocoord	Boss Truck Shop #40 (at Love's)
646d0d24-104d-46d8-92a4-d29ce7d8db20	291	KY	Richmond	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #291, Richmond
0c0c4cac-8771-4987-becf-d13a6fb414e6	618	KY	Sadieville	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #618, Sadieville
d02cc1cc-ddec-4108-b686-69b43432bcca	291	KY	Richmond	truck-stops	pub	nocoord	Love's Travel Stop #291
703372a3-ddb0-4201-b738-cab8ded1a1cf	321	KY	Corbin	truck-stops	pub	nocoord	Love's Travel Stop #321
b67852b7-a14e-43d2-b786-b8536fed05d5	618	KY	Sadieville	truck-stops	pub	nocoord	Love's Travel Stop #618
997324d7-302b-489e-b985-a31d43e886f5	291	KY	Richmond	tire-repair	pub	nocoord	Love's Truck Care - Love's Travel Stop #291, Richmond
5ee50208-ea02-4cbd-8477-5f7469cc0385	321	KY	Corbin	tire-repair	pub	nocoord	Love's Truck Care / Speedco - Love's Travel Stop #321, Corbin
33c7ebe8-323c-4b35-a654-2ac4076fec1b	618	KY	Sadieville	tire-repair	pub	nocoord	Love's Truck Care / Speedco - Love's Travel Stop #618, Sadieville
485085d9-98c6-4e88-9661-862c3bc0c514	618	MI	Birch Run	cat-scales	pub	nocoord	CAT Scale — Love's Travel Stop #618, Birch Run
