source_ref,name,store_type,address,city,state,zip,lat,lng,interstate,exit_number,parking_spaces,overnight_parking,showers,cat_scale
392,Love's Travel Stop #392,Travel Stop,2000 East Tehachapi Blvd.,Tehachapi,CA,93561,35.12607,-118.40815,,,82,true,true,true
535,Love's Travel Stop #535,Travel Stop,3555 Vine St,Londonderry,PA,17057,40.22626,-76.720249,,,71,true,true,true
372,Love's Travel Stop #372,Travel Stop,1041 NW Washington Ave.,Ontario,OR,97914,44.045823,-116.977143,I-84,374,86,true,true,true
772,Love's Travel Stop #772,Travel Stop,7748 Route 53,Bath,NY,14810,42.376673,-77.362132,I-86,37/NY Hwy 53,70,true,true,true
366,Love's Travel Stop #366,Travel Stop,22 Old Forge Rd.,Jonestown,PA,17038,40.450148,-76.515328,I-81,90,84,true,true,true
830,Love's Travel Stop #830,Travel Stop,1500 Taft Hwy,Bakersfield,CA,93307,35.267733,-119.019841,,,113,true,true,true
324,Love's Travel Stop #324,Travel Stop,440 W. 3rd,Mifflinville,PA,18631,41.026768,-76.318757,I-80,242,74,true,true,true
382,Love's Travel Stop #382,Travel Stop,2700 S. Blackstone St.,Tulare,CA,93274,36.180909,-119.330122,,,150,true,true,true
358,Love's Travel Stop #358,Travel Stop,3700 Mountain Road,Hamburg,PA,19526,40.517378,-76.111101,I-78,23,60,true,true,true
246,Love's Travel Stop #246,Travel Stop,825 Commerce Center Dr.,Fernley,NV,89408,39.618046,-119.266446,I-80,46 @ Hwy 95A,54,true,true,true
820,Love's Travel Stop #820,Travel Stop,1262 Route 414,Waterloo,NY,13165,42.964412,-76.847761,I-90,41 SWC,75,true,true,true
230,Love's Travel Stop #230,Travel Stop,21948 Highway 46,Lost Hills,CA,93249,35.616981,-119.65888,I-5,278,75,true,true,true
569,Love's Travel Stop #569,Travel Stop,200 Campbell St,Baker City,OR,97814,44.784961,-117.807806,I-84,304/Campbell St,81,true,true,true
736,Love's Travel Stop #736,Travel Stop,3174 Avenue 17,Madera,CA,93638,36.995626,-120.096252,,,90,true,true,true
403,Love's Travel Stop #403,Travel Stop,2 Industrial Park Dr.,Binghamton,NY,13904,42.101592,-75.835785,I-81,9 SB / 8B NB,72,true,true,true
404,Love's Travel Stop #404,Travel Stop,2008 Hwy 206 S.,Bordentown,NJ,08505,40.119963,-74.707648,I-295,56 NB / 52A SB,82,true,true,true
870,Love's Travel Stop #870,Travel Stop,23425 State Route 12,Watertown,NY,13601,44.002115,-75.921886,I-81,47/State Rt-12,71,true,true,true
441,Love's Travel Stop #441,Travel Stop,29025 West Plaza Dr.,Santa Nella,CA,95322,37.111363,-121.016625,I-5,407,85,true,false,true
301,Love's Travel Stop #301,Travel Stop,4208 W Expo Pkwy,Post Falls,ID,83854,47.711161,-117.00409,I-90,2,90,true,true,true
223,Love's Travel Stop #223,Travel Stop,1553 Colony Rd.,Ripon,CA,95366,37.755193,-121.14151,,,95,true,true,true
807,Love's Travel Stop #807,Travel Stop,55 S Rogers Rd,Patterson,CA,95363,37.462921,-121.175756,I-5,434/Sperry Ave,91,true,true,true
538,Love's Travel Stop #538,Travel Stop,15250 North Thornton Rd,Lodi,CA,95242,38.117395,-121.39261,I-5,485,90,true,true,true
514,Love's Travel Stop #514,Travel Stop,1370 N Highway 261,Ritzville,WA,99169,47.11319,-118.36694,I-90,221,86,true,true,true
898,Love's Travel Stop #898,Travel Stop,1264 De La Torre,Salinas,CA,93905,36.659302,-121.618714,,,94,true,true,true
811,Love's Travel Stop #811,Travel Stop,2252 E Kartchner St,Pasco,WA,99301,46.264151,-119.082472,,,57,true,true,true
650,Love's Travel Stop #650,Travel Stop,78665 Tower Road,Boardman,OR,97818,45.825166,-119.798742,I-84,159,95,true,true,true
652,Love's Travel Stop #652,Travel Stop,100 Marguerite Street,Williams,CA,95987,39.167256,-122.14382,I-5,578/Hwy 20,88,true,true,true
681,Love's Travel Stop #681,Travel Stop,700 Wine Country Rd,Prosser,WA,99350,46.219559,-119.79295,I-82,80 @ Gap Rd,66,true,true,true
410,Love's Travel Stop #410,Travel Stop,2120 South Ave.,Corning,CA,96021,39.907601,-122.196352,I-5,630,130,true,true,true
823,Love's Travel Stop #823,Travel Stop,250 Dan O'brien Way,Klamath Falls,OR,97601,42.258046,-121.799445,,,94,true,true,true
611,Love's Travel Stop #611,Travel Stop,12845 Route 22,Canaan,NY,12029,42.362667,-73.429423,I-90,B3,58,true,true,true
827,Love's Travel Stop #827,Travel Stop,4315 Prichard Rd,Moses Lake,WA,98837,47.102584,-119.341493,I-90,174,80,true,true,true
795,Love's Travel Stop #795,Travel Stop,1678 SE Highway 97,Madras,OR,97741,44.61226,-121.137633,,,81,true,true,true
413,Love's Travel Stop #413,Travel Stop,1512 Hwy 97,Ellensburg,WA,98926,47.007647,-120.585862,I-90,106,85,true,true,true
646,Love's Travel Stop #646,Travel Stop,3 Polster Rd,Willington,CT,06279,41.925687,-72.25951,I-84,71,56,true,true,true
449,Love's Travel Stop #449,Travel Stop,400 NW Frontage Rd,Troutdale,OR,97060,45.543612,-122.391721,I-84,17,96,true,true,true
312,Love's Travel Stop #312,Travel Stop,280 Grant Smith Rd,Roseburg,OR,97471,43.150503,-123.367895,I-5,119,76,true,true,true
728,Love's Travel Stop #728,Travel Stop,6457 Old Salem Rd NE,Albany,OR,97321,44.698743,-123.055073,I-5,238/Old Salem Rd,72,true,true,true
448,Love's Travel Stop #448,Travel Stop,1501 33rd Ave E,Tacoma,WA,98424,47.245328,-122.384434,I-5,136B EB/136 WB,160,true,true,true
454,Love's Travel Stop #454,Travel Stop,1276 Rush Rd,Napavine,WA,98532,46.603206,-122.908266,I-5,72,76,true,true,true
