source_ref,name,store_type,address,city,state,zip,lat,lng,interstate,exit_number,parking_spaces,overnight_parking,showers,cat_scale,quarantine_reason
54,Love's Country Store #54,Country Store,930 W Broadway St,Ardmore,OK,73401,34.174068,-97.14092,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
57,Love's Country Store #57,Country Store,413 E Main St,Henryetta,OK,74437,35.439449,-95.976804,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
201,Love's Travel Stop #201,Travel Stop,2703 East Highway 66,Elk City,OK,73644,35.423039,-99.372528,I-40,41,0,false,false,false,no-stated-truck-parking-spaces; overnight-parking-not-confirmed
84,Love's Country Store #84,Country Store,411 S 1st St,Madill,OK,73446,34.086724,-96.769831,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
31,Love's Country Store #31,Country Store,1001 W 3rd St,Elk City,OK,73644,35.412046,-99.416007,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
171,Love's Travel Stop #171,Travel Stop,Mile 66 Indian Nation Turnpike,McAlester,OK,74501,34.907161,-95.825601,,,30,false,false,false,overnight-parking-not-confirmed
33,Love's Country Store #33,Country Store,301 N Louis Tittle Ave,Mangum,OK,73554,34.876558,-99.502906,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
18,Love's Country Store #18,Country Store,607 E. Oklahoma Blvd.,Alva,OK,73717,36.7972,-98.6502,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
68,Love's Country Store #68,Country Store,1223 N 1st Ave,Durant,OK,74701,34.002079,-96.373347,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
69,Love's Country Store #69,Country Store,524 W Main St,Durant,OK,74701,33.992406,-96.381474,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
97,Love's Country Store #97,Country Store,1712 N Summit St,Arkansas City,KS,67005,37.082717,-97.0396,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
16,Love's Country Store #16,Country Store,3020 NW Williams Ave.,Woodward,OK,73801,36.417812,-99.384695,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
47,Love's Country Store #47,Country Store,2615 Oklahoma,Woodward,OK,73801,36.432993,-99.415187,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
166,Love's Travel Stop #166,Travel Stop,498 Muskogee Turnpike,Muskogee,OK,74401,35.852881,-95.421201,,,24,false,false,false,overnight-parking-not-confirmed
10,Love's Country Store #10,Country Store,408 E Broadway St,Hollis,OK,73550,34.682126,-99.914491,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
120,Love's Country Store #120,Country Store,706 S Thornton St,Vian,OK,74962,35.490723,-94.971169,I-40,297/OK Hwy-82,0,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
36,Love's Country Store #36,Country Store,721 N Hoy St,Buffalo,OK,73834,36.841361,-99.63009,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
78,Love's Country Store #78,Country Store,111 E Downing St,Tahlequah,OK,74464,35.915552,-94.968889,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
32,Love's Country Store #32,Country Store,1412 E 1st St,Pratt,KS,67124,37.646163,-98.722077,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
927,Love's Truck Care #927,Truck Service,1812 N Loop,Irving,TX,75061,32.833555,-96.914321,,,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
94,Love's Country Store #94,Country Store,504 S Park Dr,Broken Bow,OK,74728,34.022267,-94.739957,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
21,Love's Country Store #21,Country Store,802 Douglas Ave,Beaver,OK,73932,36.809774,-100.51913,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
913,Love's Truck Care #913,Truck Service,34353 LBJ Freeway,Dallas,TX,75241,32.655868,-96.754979,I-20,472,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
176,Love's Travel Stop #176,Travel Stop,Mile 97 Kansas Turnpike,Cassoday,KS,66842,38.095391,-96.579511,I-35,Mile 97,17,false,false,false,overnight-parking-not-confirmed
116,Love's Country Store #116,Country Store,115 N Fowler St,Meade,KS,67864,37.285773,-100.340328,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
929,Love's Truck Care #929,Truck Service,5815 E 30th St,Joplin,MO,64804,37.05763,-94.431249,I-44,11,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
62,Love's Country Store #62,Country Store,400 E Wyatt Earp Blvd,Dodge City,KS,67801,37.753132,-100.011806,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
58,Love's Country Store #58,Country Store,1108 W Wyatt Earp Blvd,Dodge City,KS,67801,37.753654,-100.028774,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
11,Love's Country Store #11,Country Store,1221 10th Street,Great Bend,KS,67530,38.360978,-98.754033,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
24,Love's Country Store #24,Country Store,208 West Pancake Blvd.,Liberal,KS,67901,37.032167,-100.927851,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
901,Love's Truck Care #901,Truck Service,10000 I-40 East,Amarillo,TX,79118,35.191698,-101.721509,I-40,76,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
19,Love's Country Store #19,Country Store,101 SE 2nd St,Guymon,OK,73942,36.677248,-101.4813,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
40175,Love's Service Center #40175,Service Center,"Mile 188, Kansas Turnpike",Topeka,KS,66608,39.019541,-95.508871,I-70,Mile 188,,false,false,false,store-type-not-travel-stop:Service Center; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
922,Love's Truck Care #922,Truck Service,9620 Highway 80,Greenwood,LA,71033,32.447193,-93.984882,I-20,3,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
39,Love's Country Store #39,Country Store,208 E Highway 50,Syracuse,KS,67878,37.980266,-101.75035,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
37,Love's Country Store #37,Country Store,1100 Main St,Springfield,CO,81073,37.402798,-102.615985,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
939,Love's Truck Care #939,Truck Service,3112 Highway 391 N,N Little Rock,AR,72117,34.778687,-92.127944,I-40,161,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
940,Love's Truck Care #940,Truck Service,301 SE 4th St,Oak Grove,MO,64075,39.012355,-94.126143,I-70,28,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
59,Love's Country Store #59,Country Store,709 East State Street,Phillipsburg,KS,67661,39.755533,-99.318155,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
60,Love's Country Store #60,Country Store,303 W Holme St,Norton,KS,67654,39.838867,-99.89259,,,0,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
38,Love's Country Store #38,Country Store,301 E Olive St,Lamar,CO,81052,38.088626,-102.616049,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
61,Love's Country Store #61,Country Store,265 W 4th St,Colby,KS,67701,39.397481,-101.047874,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
12,Love's Country Store #12,Country Store,308 E 1st St,La Junta,CO,81050,37.987695,-103.538643,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
233,Love's Travel Stop #233,Travel Stop,30710 FM 2920 Rd,Waller,TX,77484,30.064458,-95.905556,,,50,false,true,true,overnight-parking-not-confirmed
234,Love's Travel Stop #234,Travel Stop,612 Pederson Rd.,Katy,TX,77494,29.779813,-95.881907,I-10,737,77,false,true,true,overnight-parking-not-confirmed
419,Love's Travel Stop #419,Travel Stop,210 Patton St.,Houston,TX,77009,29.797437,-95.369817,I-45,50 SB/50A NB,250,false,true,true,overnight-parking-not-confirmed
315,Love's Travel Stop #315,Travel Stop,3940 N McCarty St,Houston,TX,77013,29.798591,-95.269023,,,100,false,true,true,overnight-parking-not-confirmed
946,Love's Truck Care #946,Truck Service,1855 N Foster Rd,San Antonio,TX,78244,29.448396,-98.361512,I-10,583,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
904,Love's Truck Care #904,Truck Service,2110 E I-10,Baytown,TX,77520,29.798317,-95.027443,I-10,789,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
912,Love's Truck Care #912,Truck Service,2423 South 24th St,Council Bluffs,IA,51501,41.237658,-95.878441,I-80,1B,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
951,Love's Truck Care #951,Truck Service,4300 Petro Rd,West Memphis,AR,72301,35.153991,-90.129421,I-40,280,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
357,Love's Car Stop #357,Car Stop,5505 Travel Plaza Drive,Fountain,CO,80817,38.723378,-104.729361,,,,false,false,false,store-type-not-travel-stop:Car Stop; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
943,Love's Truck Care #943,Truck Service,1201 Denham Dr,Pontoon Beach,IL,62040,38.76331,-90.068052,I-270,6B,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
918,Love's Truck Care #918,Truck Service,740 Highway 80 E,Flowood,MS,39232,32.27885,-90.15298,I-20,47B,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
959,Love's Country Store #959,Country Store,138 Broadway Ave,Alamosa,CO,81101,37.471499,-105.857969,,,0,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
949,Love's Truck Care #949,Truck Service,2180 Liebler Rd,Troy,IL,62294,38.738859,-89.909633,I-55,70/270 / 18,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
30,Love's Country Store #30,Country Store,1537 Grande Ave.,Monte Vista,CO,81144,37.578299,-106.13721,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
908,Love's Truck Care #908,Truck Service,5495 Dahlia St,Commerce City,CO,80022,39.795121,-104.933597,I-270,2A,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
115,Love's Country Store #115,Country Store,115 Harrison Ave,Buena Vista,CO,81211,38.850964,-106.139254,,,0,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
923,Love's Truck Care #923,Truck Service,2205 SW Railroad Ave,Hammond,LA,70403,30.476351,-90.45648,I-12,40,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
935,Love's Truck Care #935,Truck Service,102 Logistics Dr,Laredo,TX,78045,27.60831,-99.520961,,,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
916,Love's Truck Care #916,Truck Service,1317 Horizon Blvd,El Paso,TX,79928,31.662768,-106.236975,I-10,37,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
7,Love's Country Store #7,Country Store,108 S 12th St,Gunnison,CO,81230,38.543928,-106.934411,,,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
915,Love's Truck Care #915,Truck Service,1704 West Evergreen Ave,Effingham,IL,62401,39.135518,-88.568675,I-70,57 / 160,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
950,Love's Truck Care #950,Truck Service,1103 Walker St,Walcott,IA,52773,41.618438,-90.787033,I-80,284,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
938,Love's Truck Care #938,Truck Service,1301 Motel Dr,Milan,NM,87021,35.178761,-107.90524,I-40,79,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
911,Love's Truck Care #911,Truck Service,3120 Buttermilk Rd,Cottondale,AL,35453,33.179931,-87.448274,I-20,59 / 77,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
919,Love's Truck Care #919,Truck Service,2875 Scottsville Rd,Franklin,KY,42134,36.716525,-86.526949,I-65,6,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
926,Love's Truck Care #926,Truck Service,5191 Harding Ln,Indianapolis,IN,46217,39.690198,-86.18576,I-465,4,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
952,Love's Truck Care #952,Truck Service,4804 N White St,Whiteland,IN,46184,39.547412,-86.036087,I-65,95,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
920,Love's Truck Care #920,Truck Service,5225 W 26th Ave,Gary,IN,46406,41.571274,-87.401693,I-80,94 / 6,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
953,Love's Truck Care #953,Truck Service,524 Pendleton Rd,Pendleton,KY,40055,38.459728,-85.298717,I-71,28/Hwy-153,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
119,Love's Country Store #119,Country Store,1775 W Main Street,Green River,UT,84525,38.99462,-110.183997,I-70,160,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
932,Love's Truck Care #932,Truck Service,1701 Everett Rd,Knoxville,TN,37932,35.882294,-84.238172,I-40,75 / 369,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
909,Love's Truck Care #909,Truck Service,4136 Old McDonough Rd,Conley,GA,30288,33.66019,-84.340667,I-285,53,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
9,Love's Country Store #9,Country Store,640 State Road 90,Benson,AZ,85602,31.962166,-110.346561,I-10,302,,false,false,false,store-type-not-travel-stop:Country Store; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
928,Love's Truck Care #928,Truck Service,1111 Bucksnort Rd,Jackson,GA,30233,33.206151,-84.063875,I-75,201,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
907,Love's Truck Care #907,Truck Service,8212 S Sunland Gin Rd,Casa Grande,AZ,85131,32.805104,-111.67204,I-10,200,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
905,Love's Truck Care #905,Truck Service,416 Village Ave,Beaverdam,OH,45808,40.836052,-83.963903,I-75,135,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
942,Love's Truck Care #942,Truck Service,26313 Baker Rd,Perrysburg,OH,43551,41.533812,-83.46858,I-80,90 / 71/I-280 NB,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
914,Love's Truck Care #914,Truck Service,196 Mcaulay Rd,Duncan,SC,29334,34.915001,-82.112195,I-85,63,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
933,Love's Truck Care #933,Truck Service,6847 Lake Park Bellville Rd,Lake Park,GA,31636,30.645984,-83.185148,I-75,2,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
931,Love's Truck Care #931,Truck Service,875 TY Rd,Kingman,AZ,86401,35.179338,-113.793341,I-40,66,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
937,Love's Truck Care #937,Truck Service,2866 Lee Hwy,Max Meadows,VA,24360,36.947293,-80.942391,I-77,81 / 80,,false,false,false,store-type-not-travel-stop:Truck Service; no-stated-truck-parking-spaces; overnight-parking-not-confirmed
