name,category,city,state,slug_preview,slug_collision,completeness,label,geocoding,duplicate_hits,verdict,reason,missing_fields
Belvidere Rest Area (Westbound),parking,Belvidere,SD,belvidere-rest-area-westbound-belvidere-sd,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Vivian Rest Area (Eastbound),parking,Vivian,SD,vivian-rest-area-eastbound-vivian-sd,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Vivian Rest Area (Westbound),parking,Vivian,SD,vivian-rest-area-westbound-vivian-sd,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Chamberlain Lewis & Clark Welcome Center & Rest Area,parking,Chamberlain,SD,chamberlain-lewis-clark-welcome-center-rest-area-chamberlain-sd,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
White Lake Rest Area,parking,White Lake,SD,white-lake-rest-area-white-lake-sd,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
I-90 Travel Center Truck & Trailer Wash,truck-washes,Mitchell,SD,i-90-travel-center-truck-trailer-wash-mitchell-sd,,56,Needs work,needs-geocoding,,import-unpublished,completeness 56 — enrich before publishing,Verified coordinates; Phone; Website; Amenities; Verified date; Approved reviews
Larry's I-90 Service,roadside-service,Mitchell,SD,larry-s-i-90-service-mitchell-sd,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Super 8 by Wyndham Mitchell,hotels-truck-parking,Mitchell,SD,super-8-by-wyndham-mitchell-mitchell-sd,,56,Needs work,needs-geocoding,,import-unpublished,"completeness 56, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Salem Rest Area,parking,Salem,SD,salem-rest-area-salem-sd,,43,Needs work,needs-geocoding,,import-unpublished,"completeness 43, no address — enrich before publishing",Street address; ZIP; Exit number; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Hartford BP,truck-stops,Hartford,SD,hartford-bp-hartford-sd,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Verified coordinates; Phone; Website; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Love's Travel Stop #445,truck-stops,Sioux Falls,SD,love-s-travel-stop-445-sioux-falls-sd,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Love's Sioux Falls,cat-scales,Sioux Falls,SD,cat-scale-at-love-s-sioux-falls-sioux-falls-sd,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Blue Beacon Truck Wash of Sioux Falls,truck-washes,Sioux Falls,SD,blue-beacon-truck-wash-of-sioux-falls-sioux-falls-sd,,72,Good,needs-geocoding,,ready-to-publish,completeness 72 with address,Verified coordinates; Amenities; Verified date; Approved reviews
Graham Tire - Sioux Falls North,tire-repair,Sioux Falls,SD,graham-tire-sioux-falls-north-sioux-falls-sd,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Pomp's Tire Service - Sioux Falls,tire-repair,Sioux Falls,SD,pomp-s-tire-service-sioux-falls-sioux-falls-sd,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Flying J Travel Center #716,truck-stops,Sioux Falls,SD,flying-j-travel-center-716-sioux-falls-sd,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
CAT Scale at Flying J Sioux Falls,cat-scales,Sioux Falls,SD,cat-scale-at-flying-j-sioux-falls-sioux-falls-sd,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Jim & Ron's Service,roadside-service,Sioux Falls,SD,jim-ron-s-service-sioux-falls-sd,,76,Good,needs-geocoding,,ready-to-publish,completeness 76 with address,Verified coordinates; Verified date; Approved reviews
Southeast Technical College - CDL Training,cdl-schools,Sioux Falls,SD,southeast-technical-college-cdl-training-sioux-falls-sd,,57,Needs work,needs-geocoding,,import-unpublished,completeness 57 — enrich before publishing,Exit number; Verified coordinates; Phone; Amenities; Verified date; Approved reviews
Coffee Cup Fuel Stop - Brandon,truck-stops,Brandon,SD,coffee-cup-fuel-stop-brandon-brandon-sd,,71,Good,needs-geocoding,,ready-to-publish,completeness 71 with address,Verified coordinates; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Valley Springs Welcome Center / Rest Area,parking,Valley Springs,SD,valley-springs-welcome-center-rest-area-valley-springs-sd,,53,Needs work,needs-geocoding,,import-unpublished,"completeness 53, no address — enrich before publishing",Street address; Verified coordinates; Phone; Parking type; Truck-space count; TPC reservation link; Verified date; Approved reviews
Valley Springs Port of Entry,weigh-stations,Valley Springs,SD,valley-springs-port-of-entry-valley-springs-sd,,62,Needs work,needs-geocoding,,import-unpublished,"completeness 62, no address — enrich before publishing",Street address; Verified coordinates; Verified date; Approved reviews
