id,name,state,city,provenance,publication_verdict,facility_verdict,coordinate_verdict,overnight_verdict,reason_codes,duplicate_candidate_ids,completeness_score,pending_reports,candidate_source_to_verify,owner_action
304c91be-ba96-4f09-83ec-8258f6ed4716,Truck Parking Club - Online Transport (Georgetown),KY,Georgetown,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING FREE_PAID_UNSOURCED RESERVABILITY_UNSOURCED,,46,0,,find an official source
6bc0c663-fe39-4d71-b270-4b4d3d04b651,Chesapeake House Travel Plaza Truck Parking,MD,North East,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,65,0,https://mdta.maryland.gov/MD_I-95_Travel_Plazas/Home.html,retrieve and record source: https://mdta.maryland.gov/MD_I-95_Travel_Plazas/Home.html
208bb775-28c3-4123-8bd8-6eaaeac77ad4,Maryland House Travel Plaza Truck Parking,MD,Aberdeen,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,65,0,https://mdta.maryland.gov/MD_I-95_Travel_Plazas/Home.html,retrieve and record source: https://mdta.maryland.gov/MD_I-95_Travel_Plazas/Home.html
6c6a902c-51f9-4aee-859d-3eb835664f64,Maryland I-95 North Welcome Center & Rest Area,MD,Savage,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,62,0,https://www.visitmaryland.org/listing/visitor-centers/i-95-north-welcome-center,retrieve and record source: https://www.visitmaryland.org/listing/visitor-centers/i-95-north-welcome-center
9ee0d88b-f880-4157-81ec-2453ef1f37ed,Maryland I-95 South Welcome Center & Rest Area,MD,Savage,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,62,0,https://www.visitmaryland.org/listing/visitor-centers/i-95-south-welcome-center,retrieve and record source: https://www.visitmaryland.org/listing/visitor-centers/i-95-south-welcome-center
211b73ca-fccd-437d-9daf-139d6f60c902,Kennebunk Service Plaza (I-95 Northbound),ME,Kennebunk,official-government,needs-source-provenance,unknown,unverifiable,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATE_PROVENANCE_MISSING,,34,0,,find an official source
a3bd4ae7-8628-43ac-ba05-c03028eb215c,"Sault Ste. Marie Rest Area (I-75 NB, MM 389)",MI,Sault Ste. Marie,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING,,39,0,https://www.michiganrestareas.com/,retrieve and record source: https://www.michiganrestareas.com/
9d0f39c3-4609-4b0b-8051-7ca9b53f97b0,"St. Ignace Rest Area (I-75 SB, MM 348)",MI,St. Ignace,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING,,39,0,https://www.michiganrestareas.com/,retrieve and record source: https://www.michiganrestareas.com/
56a93068-45d4-4033-ba20-a00d3fe66ba6,Truck Parking Club - Auburn Hills,MI,Auburn Hills,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING FREE_PAID_UNSOURCED RESERVABILITY_UNSOURCED,,41,0,https://truckparkingclub.com/us/michigan/auburn-hills,retrieve and record source: https://truckparkingclub.com/us/michigan/auburn-hills
c7f25b2f-f452-4eb3-b77d-7f74097bd34e,Truck Parking Club - Madison Heights,MI,Madison Heights,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING FREE_PAID_UNSOURCED RESERVABILITY_UNSOURCED,,41,0,https://truckparkingclub.com/us/michigan/madison-heights,retrieve and record source: https://truckparkingclub.com/us/michigan/madison-heights
d8c8b88a-0af7-4faf-838f-5288eef85239,I-95 Cumberland County Rest Area (Northbound),NC,Fayetteville,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,55,0,https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/,retrieve and record source: https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/
25dea13e-8d96-411a-8945-782f2b5694d4,I-95 Cumberland County Rest Area (Southbound),NC,Fayetteville,legacy-import,needs-source-provenance,unknown,missing,unknown,PARKING_SOURCE_MISSING TRUCK_ACCESS_UNPROVEN COORDINATES_MISSING AMENITIES_UNSOURCED,,55,0,https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/,retrieve and record source: https://www.ncdot.gov/travel-maps/traffic-travel/rest-areas/
