listing_id,business_name,city,state,interstate,lat,lng,severity,findings,miles_outside_state,miles_outside_corridor
738937f9-3b6d-44d2-9c1e-61ce6e0c43dc,Martino Commercial Tire,West Palm Beach,FL,I-95,,,no-coordinates,no-coordinates,,
0c8f2702-18ba-465d-ad9f-7222b3db2744,Maryland House Travel Plaza,Aberdeen,MD,I-95,,,no-coordinates,no-coordinates,,
208bb775-28c3-4123-8bd8-6eaaeac77ad4,Maryland House Travel Plaza Truck Parking,Aberdeen,MD,I-95,,,no-coordinates,no-coordinates,,
6c6a902c-51f9-4aee-859d-3eb835664f64,Maryland I-95 North Welcome Center & Rest Area,Savage,MD,I-95,,,no-coordinates,no-coordinates,,
9ee0d88b-f880-4157-81ec-2453ef1f37ed,Maryland I-95 South Welcome Center & Rest Area,Savage,MD,I-95,,,no-coordinates,no-coordinates,,
ebeeef84-4ab8-478a-a46a-3e07a9b29ff3,Maryland Truck Tire Services Inc,Jessup,MD,I-95,,,no-coordinates,no-coordinates,,
fcd1a075-899a-4873-b325-f0d767d3d03f,McCabe's Tire & Service,Morganton,NC,I-40,,,no-coordinates,no-coordinates,,
754ad6c5-67c3-471c-a1f0-a2add44818fa,McDowell County Rest Area I-40 Eastbound (MM 82),Marion,NC,I-40,,,no-coordinates,no-coordinates,,
ff910909-fb85-4078-89de-733cdf1b24f3,McDowell County Rest Area I-40 Westbound (MM 82),Marion,NC,I-40,,,no-coordinates,no-coordinates,,
3ec4da2b-9df7-4bba-913c-c6023b9797ca,McGee Commercial Tire & Service - Hickory,Hickory,NC,I-40,,,no-coordinates,no-coordinates,,
12dde434-b831-4783-97f6-f524314da838,Menendez Road Service,Jessup,MD,I-95,,,no-coordinates,no-coordinates,,
b6d01963-8cf5-47b9-b982-c81a408933b4,Metropolis Truck Plaza,Metropolis,IL,I-24,,,no-coordinates,no-coordinates,,
c0884a63-939a-4493-9de9-3a497f3aba5f,MHC Kenworth - Jackson,Jackson,TN,I-40,,,no-coordinates,no-coordinates,,
54b59fd2-c9f0-4978-970f-e736398c2504,MHC Kenworth - Knoxville,Knoxville,TN,I-40,,,no-coordinates,no-coordinates,,
72afed68-caa3-49ed-b20b-9766e2a533b4,MHC Kenworth - Nashville,Nashville,TN,I-40,,,no-coordinates,no-coordinates,,
97435277-e8a8-49a8-9ff1-0ed17bec85af,Miccosukee Service Plaza,Ochopee,FL,I-75,,,no-coordinates,no-coordinates,,
73a2d986-6a30-41a4-83b8-e396fb3b71e1,Michigan Weigh Station - I-75 Northbound (Mackinac Bridge / St. Ignace),St. Ignace,MI,I-75,,,no-coordinates,no-coordinates,,
