listing_id,business_name,category,address,city,state,zip,current_latitude,current_longitude,proposed_latitude,proposed_longitude,confidence,source_url,verification_notes,action,confidence_reason,reviewer_notes,priority
58df3f57-bad8-4b31-8949-437e4c00a3b2,Adel Truck Plaza,truck-stops,1503 W 4th St,Adel,GA,31620,,,31.138574,-83.444919,medium,,mile-marker interpolation; interpolated between mileposts 39 and 39 (gap 0 mi); interpolated point is within 0.05 mi of listing 38139280-d79e-4c84-8807-5831c72095a7,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 38139280-d79e-4c84-8807-5831c72095a7,high
5aecf10b-8e95-48a4-a815-da033b1d7cf4,Pilot Travel Center #1577,truck-stops,106 Comfort Ln,Pioneer,TN,37847,,,36.376770,-84.248712,medium,,mile-marker interpolation; interpolated between mileposts 141 and 141 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
5e829807-6932-4f13-b44f-e5dea115f755,Petro Knoxville,truck-stops,722 Watt Rd,Knoxville,TN,37934,,,35.873100,-84.237900,medium,,mile-marker interpolation; interpolated between mileposts 369 and 369 (gap 0 mi); interpolated point is within 0.05 mi of listing 46c70f80-8582-44d1-a7b6-ea9423392fea,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 46c70f80-8582-44d1-a7b6-ea9423392fea,high
6084486a-563c-4492-8a3f-575d0e036f02,Speedco at Love's Travel Stop #861,tire-repair,222 Elizabeth Lee Pkwy,Loudon,TN,37774,,,35.733196,-84.397797,medium,,mile-marker interpolation; interpolated between mileposts 72 and 72 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
6388ce8e-6d60-43c0-a9ad-5069f26781b8,Orbit Chevron Market,truck-stops,1420 25th St NW,Cleveland,TN,37311,,,35.189995,-84.881410,medium,,mile-marker interpolation; interpolated between mileposts 25 and 25 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
6a03a2b8-5d79-4192-b5a9-5572e6162957,Speedway #7147,truck-stops,2920 Decatur Pike,Athens,TN,37303,,,35.469129,-84.652949,medium,,mile-marker interpolation; interpolated between mileposts 49 and 49 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
6d390c19-277a-4cba-952d-0d1f19caa00a,TA Truck Service - TA Cartersville,tire-repair,981 Cassville White Rd NW,Cartersville,GA,30121,,,34.273972,-84.807762,medium,,mile-marker interpolation; interpolated between mileposts 296 and 296 (gap 0 mi); interpolated point is within 0.05 mi of listing 0f848a8a-9f2f-4e89-bed3-97d656bcd25d,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 0f848a8a-9f2f-4e89-bed3-97d656bcd25d,high
7781de27-e09d-41fe-b394-5250755d187b,Love's Speedco #932 Knoxville,tire-repair,1701 Everett Rd,Knoxville,TN,37932,,,35.873100,-84.237900,medium,,mile-marker interpolation; interpolated between mileposts 369 and 369 (gap 0 mi); interpolated point is within 0.05 mi of listing 46c70f80-8582-44d1-a7b6-ea9423392fea,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 46c70f80-8582-44d1-a7b6-ea9423392fea,high
7deb34cf-e74e-4398-ab16-1d31efa8a89a,Ponderosa Truck Stop,truck-stops,9227 Frontage Rd NW,Charleston,TN,37310,,,35.291951,-84.818048,medium,,mile-marker interpolation; interpolated between mileposts 33 and 33 (gap 0 mi),manual-review,anchor gap based; capped at medium by design,,high
8f885b84-e20c-4e45-bddb-7016af7b1f78,Blue Beacon Truck Wash — Jackson,truck-washes,132 Truck Stop Way,Jackson,GA,30233,,,33.205898,-84.058286,medium,,mile-marker interpolation; interpolated between mileposts 201 and 201 (gap 0 mi); interpolated point is within 0.05 mi of listing 33e41d22-1dac-425b-a17d-c9b6affcda21,manual-review,anchor gap based; capped at medium by design,check near-duplicate against listing 33e41d22-1dac-425b-a17d-c9b6affcda21,high
