listing_id,address,city,state,zip,interstate
128e28fd-ea53-4895-8b25-1d330554e8b6,8435 E Holly Rd,Holly,MI,,I-75
12cb5734-b6f3-48d8-adc1-71b693367a2a,497 County Road 222,Cullman,AL,35055,I-65
12fa9201-e925-4e5c-8c73-6f1037cd4082,28311 Crossroads Pkwy,Rossford,OH,43460,I-75
1331b4e0-334f-40ce-b89d-d92cb15d76f6,715 Cahaba Valley Rd,Pelham,AL,35124,I-65
1339b41e-8930-4c32-a99c-832bffae406e,121 Parker Padgett Rd,Old Fort,NC,28762,I-40
13a9285c-b1a3-41c1-8bd8-b37661403226,1491 Bobby L Glover Highway,Carlisle,AR,72024,I-40
146b8332-2938-43e7-ab80-e6069aee6443,1609 Nadeau Rd,Frenchtown,MI,48161,I-75
148b4646-be1e-4eeb-91b4-1cedff83441a,2217 S Edwin C Moses Blvd,Dayton,OH,,I-75
14b53fd6-ea8b-4e2a-8618-128e28612212,3700 N Service Rd,West Memphis,AR,72301,I-40
15061bb1-5399-4e9e-bf46-36a8cf0fc784,484 U.S. Highway 70 SW,Hickory,NC,,I-40
152dcf8e-4366-4317-9e54-0e6d716a59af,13019 Walton Verona Rd,Walton,KY,41094,I-75
1563a9b1-b685-4915-9ef4-eed8e80c4827,2862 Barrett Ave,Macon,GA,31206,I-75
17e513b1-c6cb-4d55-a60c-54cf04234398,250 W Cumberland Gap Pkwy,Corbin,KY,40701,I-75
180e7203-8914-4be5-9943-437fe4bb37ff,1322 US Highway 72 East,Athens,AL,35611,I-65
181dd4e9-f9b8-41ca-9b5d-3d38edf629ab,210 W Service Rd,West Memphis,AR,72301,I-40
1822b81f-648c-4711-a265-fe1800ccb423,5115 N 300 E,Whiteland,IN,46184,I-65
188b983c-bfc5-4d1d-9027-02850775a06a,"I-40 westbound, mile marker 131.5",Holladay,TN,,I-40
18b7f760-c662-4d38-9e0c-0a91f1022015,145 N Dowling St,Austin,IN,47102,I-65
18cb36d8-a481-4013-af5d-f4ce70911fa1,107 N Keeneland Dr,Richmond,KY,40475,I-75
18df2837-56f3-4b52-9360-d625614d0910,618 Lambson Ln,New Castle,DE,19720,I-95
1973618e-b3f4-4ef1-a494-e982fb8aeac3,24420 Pennsylvania Rd,Taylor,MI,48180,I-75
1b0ef012-d5cf-4550-8723-3c19fa283ddb,"I-95 Southbound, Mile Marker 131",Fredericksburg,VA,22553,I-95
1b16d50c-fe90-4999-9174-24b1afd5d87f,15 Dogpatch Trading Center,London,KY,40741,I-75
1b26d26d-059c-4bb0-adf1-0775ac9da1e8,171 W Cumberland Gap Pkwy,Corbin,KY,40701,I-75
1b28a7ae-3fa0-4c3a-975d-b96459b104d1,30 Sand Pebble Rd (at Pilot Travel Center #366),Jackson,TN,38305,I-40
1b9fd8ed-aee3-458f-9296-7a6a5f5ca340,15976 Whyte Hardee Blvd,Hardeeville,SC,29927,I-95
1beb847b-eca9-4b86-a151-558340292504,29933 State Road 52,San Antonio,FL,33576,I-75
