source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities,has_parking
673,Flying J Travel Center,Flying J,Flying J Travel Center #673,825 N Loop Dr,Sullivan,MO,63080,38.225315719934464,-91.15816794416129,I-44,226,"I-44/MO-185, Exit 226",160,12,11,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Barber Shop | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true
693,Flying J Travel Center,Flying J,Flying J Travel Center #693,8484 Alleghany Rd,Corfu,NY,14036,43.00133808672438,-78.40663019503415,I-90,48A,"I-90, Exit 48A",111,8,9,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true
694,Flying J Travel Center,Flying J,Flying J Travel Center #694,2349 Center Rd,Austinburg,OH,44010,41.789384995203704,-80.85615393741703,I-90,223,"I-90/OH-45, Exit 223",164,12,15,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true
705,Flying J Travel Center,Flying J,Flying J Travel Center #705,2400 S 4th St,Sayre,OK,73662,35.26532218526573,-99.64070370304108,I-40,20,"I-40/US-283, Exit 20",150,8,9,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true
714,Flying J Travel Center,Flying J,Flying J Travel Center #714,2435 Mt Holly Rd,Rock Hill,SC,29730,34.85584407699772,-81.00636486840268,I-77,73,"I-77, Exit 73",141,8,9,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true
731,Mr. Fuel Travel Center,Mr. Fuel Travel Center,Mr. Fuel Travel Center #731,140 Holwager Dr,Spiceland,IN,47385,39.85057100523276,-85.41771688227846,I-70,123,"I-70, Exit 123",50,10,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,true
756,Flying J Travel Center,Flying J,Flying J Travel Center #756,780 WI-54,Black River Falls,WI,54615,44.295455653455534,-90.82946731609397,I-94,116,"I-94, Exit 116",150,10,12,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true
762,Flying J Travel Center,Flying J,Flying J Travel Center #762,1810 S Douglas Hwy,Gillette,WY,82718,44.27735726262782,-105.49489346130753,I-90,126,"I-90, Exit 126",50,5,4,,,false,Electric Vehicle Charging Station | Mobile Ordering,true
905,Pilot Licensed Location,Pilot,Pilot Licensed Location #905,7985 MT-200,Milltown,MT,59851,46.874603769893376,-113.88779875127125,I-90,109,"I-90, Exit 109",100,11,0,,,true,Diesel Lanes | Showers | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Public Laundry | Truck Parking Spaces,true
924,Flying J Licensed Location,Flying J,Flying J Licensed Location #924,122000 Browns Gulch Rd,Butte,MT,59701,46.00830179605397,-112.60875498021532,I-90,122,"I-90/15, Exit 122",120,10,0,,,false,Diesel Lanes | Showers | ATM | DEF Lanes | Drivers Lounge | Public Laundry | Truck Parking Spaces,true
