id	store_number	state	city	category_slug	is_published	has_coord	address	zip	lat	lng	interstate	source	name
40e6a8f0-e686-4f00-8eba-65d11117ae7d		AR	West Memphis	truck-washes	true	false	3600 Service Loop Rd	72301			I-40	csv-import	Blue Beacon Truck Wash of West Memphis (Flying J)
bc81fd4d-e85c-4de1-b213-705b1aa79e8b	624	FL	San Antonio	cat-scales	true	false	29933 State Road 52	33576			I-75	csv-import	CAT Scale - Flying J Travel Plaza #624 (Dade City)
c05b09af-8df6-4092-9130-91c9a3deb61e		FL	Miami	cat-scales	true	false					I-75	csv-import	CAT Scale - Flying J, Miami
6a2400d1-8053-46a5-adbb-e6a12e4cf641	293	FL	Ocala	cat-scales	true	false	2020 SW Highway 484	34473			I-75	csv-import	CAT Scale - Pilot #293 (Ocala, SR 484)
ff0a084a-5dae-4a65-a4a8-f9bca9531384	424	FL	Ocala	cat-scales	true	false	4032 W Highway 326	34482			I-75	csv-import	CAT Scale - Pilot #424 (Ocala, 4032 Hwy 326)
2c075ea6-0ffe-4f08-8bcc-9d0a027c1ff3	4556	FL	Wildwood	cat-scales	true	false	744 E State Road 44	34785			I-75	csv-import	CAT Scale - Pilot #4556 (Wildwood, 744 SR 44)
83d35d2c-b77c-44ea-8e25-6b0c1b3722c1	95	FL	Wildwood	cat-scales	true	false	493 E State Road 44	34785			I-75	csv-import	CAT Scale - Pilot #95 (Wildwood, 493 SR 44)
bbb6d29c-9a64-46fa-859f-2496d6085564	352	FL	Fort Myers	cat-scales	true	false	6050 Plaza Dr	33905			I-75	csv-import	CAT Scale - Pilot Travel Center #352, Fort Myers
56accaa0-eb22-413a-b887-1e6d535c08ae	393	NC	Waynesville	cat-scales	true	false	3712 Crabtree Rd	28786			I-40	csv-import	CAT Scale - Pilot Travel Center #393
b66b0f4d-ff5f-452c-82a7-a74151a6bcc1	409	TN	Dickson	cat-scales	true	false	2320 Highway 46 S	37055			I-40	csv-import	CAT Scale - Pilot Travel Center #409 Dickson
f18a5587-4631-4b0c-83a2-55d6c12ad078	53	TN	Hurricane Mills	cat-scales	true	false	15559 Highway 13 S	37078			I-40	csv-import	CAT Scale - Pilot Travel Center #53 Hurricane Mills
ea9dc82f-67a9-4e54-b0b9-10a0ebe33359	602	AL	Birmingham	cat-scales	true	false	224 Daniel Payne Dr	35207			I-65	csv-import	CAT Scale - Pilot Travel Center #602, Birmingham
c5a48945-a47e-4fd5-914d-84f308fce637	94	FL	Punta Gorda	cat-scales	true	false	26505 Jones Loop Rd	33950			I-75	csv-import	CAT Scale - Pilot Travel Center #94, Punta Gorda
04ba3188-26b8-4f28-b7aa-b90da2745d91	895	MI	Woodhaven	cat-scales	true	false	21055 West Rd	48183			I-75	csv-import	CAT Scale — Flying J #895, Woodhaven
699bb772-2ec5-4520-bf6b-abeebf30954a	604	AL	Hope Hull	cat-scales	true	false	900 Tyson Rd	36043			I-65	csv-import	CAT Scale — Flying J Travel Center #604, Hope Hull
bdbeb0cd-6935-4c31-b188-9465f1c1146a	630	GA	Jackson	cat-scales	true	true	1125 Bucksnort Rd	30233	33.207424	-84.064267	I-75	csv-import	CAT Scale — Flying J Travel Center #630, Jackson
e77e023a-8667-4f3a-ab4e-480cf280ff2d	631	GA	Lake Park	cat-scales	true	true	7001 Bellville Rd	31636	30.641522	-83.189746	I-75	csv-import	CAT Scale — Flying J Travel Center #631, Lake Park
c2bd3356-8933-46a5-9b08-0a520a585d2a	632	GA	Resaca	cat-scales	true	true	288 Resaca Beach Blvd NW	30735	34.576411	-84.94715	I-75	csv-import	CAT Scale — Flying J Travel Center #632, Resaca
152dcf8e-4366-4317-9e54-0e6d716a59af	664	KY	Walton	cat-scales	true	false	13019 Walton Verona Rd	41094			I-75	csv-import	CAT Scale — Flying J Travel Center #664, Walton
925013f5-8de1-4263-999a-8121bb9bd399	668	MI	Saginaw	cat-scales	true	false	3475 E Washington Rd	48601			I-75	csv-import	CAT Scale — Flying J Travel Center #668, Saginaw
fb8eb46d-b871-4344-9cd6-5843638e7648	695	OH	Beaverdam	cat-scales	true	false	420 East Main Street	45808			I-75	csv-import	CAT Scale — Flying J Travel Center #695, Beaverdam
861f3ac4-7494-480b-821c-05f6c9cf886d	700	OH	Perrysburg	cat-scales	true	false	26415 Warns Dr				I-75	csv-import	CAT Scale — Flying J Travel Center #700, Perrysburg
0666ef38-a91d-4a71-b242-f94f4a45cca2	97	OH	Vandalia	cat-scales	true	false	175 Northwoods Blvd	45377			I-75	csv-import	CAT Scale — Flying J Travel Center #97, Vandalia
2138c8b1-489c-4aa9-9fe9-51cf8fb72982		KY	Walton	cat-scales	true	false	118 Richwood Rd	41094			I-75	csv-import	CAT Scale — Mr. Fuel Travel Center, Walton
b2b47835-26cd-4b73-9b81-aeb562872970	722	TN	Knoxville	cat-scales	true	false	800 Watt Rd	37932			I-75	csv-import	CAT Scale — Pilot Travel Center (Flying J #722), Knoxville (Watt Road)
5e8660b1-0553-413a-b271-9bdf78f09202	15	OH	Toledo	cat-scales	true	false	5820 Hagman Rd	43612			I-75	csv-import	CAT Scale — Pilot Travel Center #15, Toledo
03c57077-85f1-4fea-8838-348d2f8a3b5f	1577	TN	Pioneer	cat-scales	true	true	106 Comfort Lane	37847	36.37677	-84.248712	I-75	csv-import	CAT Scale — Pilot Travel Center #1577, Pioneer
55f53612-5494-460b-9ee1-2ac92f154285	192	GA	Tifton	cat-scales	true	true	4431 Union Rd	31794	31.428514	-83.51632	I-75	csv-import	CAT Scale — Pilot Travel Center #192, Tifton
2aafd4fa-3045-492d-a047-49a8ada973dd	231	KY	Corbin	cat-scales	true	false	249 W Cumberland Gap Pkwy	40701			I-75	csv-import	CAT Scale — Pilot Travel Center #231, Corbin
88da4d5c-2816-4329-947d-6a77e584c45d	231	OH	Monroe	cat-scales	false	false					I-75	csv-import	CAT Scale — Pilot Travel Center #231, Monroe
ab64b757-a841-4754-b0cf-0d36aa10087c	24	MI	Monroe	cat-scales	true	false	1100 N Dixie Hwy	48162			I-75	csv-import	CAT Scale — Pilot Travel Center #24, Monroe
4b60c1b7-624c-4541-8466-0844e9e0369e	24	OH	Sharonville	cat-scales	false	false					I-75	csv-import	CAT Scale — Pilot Travel Center #24, Sharonville
61744d1b-3abe-4aed-bbcc-775321a08d5b	267	GA	Byron	cat-scales	true	true	2965 Hwy 247C	31008	32.612278	-83.744515	I-75	csv-import	CAT Scale — Pilot Travel Center #267, Byron
c297e04a-9f49-46d2-8ca2-28b97d243a62	284	MI	Monroe	cat-scales	true	false	1200 Nadeau Rd	48162			I-75	csv-import	CAT Scale — Pilot Travel Center #284, Monroe
c318488f-fe10-471f-afb2-407f771beb82	284	OH	West Chester	cat-scales	false	false					I-75	csv-import	CAT Scale — Pilot Travel Center #284, West Chester
ee24eb2e-7055-4814-8772-dc0797965591	319	GA	Dalton	cat-scales	true	true	243 Connector 3 SW	30720	34.686835	-85.000111	I-75	csv-import	CAT Scale — Pilot Travel Center #319, Dalton
