source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities,has_parking,disposition,db_ids,match_evidence,note
48,Pilot Travel Center,Pilot,Pilot Travel Center #48,58 Glendale Hodgenville Rd W,Glendale,KY,42740,37.5955972832017,-85.86489468978714,I-65,86,"I-65, Exit 86",125,11,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,net-new-official-location,,,
167,Pilot Travel Center,Pilot,Pilot Travel Center #167,2424 E Austin Blvd,Nevada,MO,64772,37.83528342614755,-94.32478784136941,I-49,101,"I-49, Exit 101",37,5,3,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
268,Pilot Travel Center,Pilot,Pilot Travel Center #268,2975 N Plainview Rd,Walcott,IA,52773,41.614354353305885,-90.78216472023773,I-80,284,"I-80, Exit 284",25,6,3,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
274,Pilot Travel Center,Pilot,Pilot Travel Center #274,2112 Rees St,Breaux Bridge,LA,70517,30.293935019709682,-91.9144897043686,I-10,109,"I-10, Exit 109",105,7,7,,,false,Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,net-new-official-location,,,
489,Flying J Travel Center,Flying J,Flying J Travel Center #489,4401 32nd Ave S,Grand Forks,ND,58201,47.88845382016879,-97.09251515767211,I-29,138,"I-29, Exit 138",65,10,10,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
604,Flying J Travel Center,Flying J,Flying J Travel Center #604,900 Tyson Rd,Hope Hull,AL,36043,32.194202910088684,-86.41967308332825,I-65,158,"I-65, Exit 158",145,8,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,exact-authoritative-match,f77f6c23-384f-4f64-af4d-2b73d30dbfbb 699bb772-2ec5-4520-bf6b-abeebf30954a,store_number,"1 colocated service row(s), no map pin"
576,Flying J Travel Center,Flying J,Flying J Travel Center #576,8051 Bagley Ave,Northfield,MN,55057,44.47066678033858,-93.29479698147583,I-35,69,"I-35, Exit 69",80,7,5,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
650,Flying J Travel Center,Flying J,Flying J Travel Center #650,1401 Ripley St,Lake Station,IN,46405,41.58643338442599,-87.23953477937202,I-94,15B,"I-94/90, Exit 15B",375,12,17,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
666,Pilot Travel Center,Pilot,Pilot Travel Center #666,1860 E Napier Ave,Benton Harbor,MI,49022,42.090035567751514,-86.4123753558197,I-94,30,"I-94, Exit 30",135,10,6,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Truck Wash | Mobile Ordering,true,net-new-official-location,,,
688,Flying J Travel Center,Flying J,Flying J Travel Center #688,326 Slapes Corner Rd,Carneys Point,NJ,08069,39.68406448291671,-75.48522055644875,I-295,2C,"I-295, Exit 2C",213,12,16,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,net-new-official-location,,,
