source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities
789,Flying J Travel Center,Flying J,Flying J Travel Center #789,3700 Highbury Ave S,London,ON,N6N 1P3,42.93361756476158,-81.17500907713274,,189,"ON-401, Exit 189",200,12,15,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces
803,Flying J Travel Center,Flying J,Flying J Travel Center #803,Highway 1 East,Portage La Prairie,MB,R1N 3B2,49.973492,-98.211921,,,Hwy #1 East,40,4,0,,,false,Diesel Lanes | Diesel Mobile Fueling | ATM | Check Cashing | Lottery | Pegasus | Truck Parking Spaces
846,Shell Flying J Dealer,Shell Flying J Dealer,Shell Flying J Dealer #846,Jct Hwy 9 & Hwy 36 S,Hanna,AB,T0J 1P0,51.6181359714948,-111.81157629321646,,,AB-9 & AB-36 S,100,8,0,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Pegasus | Public Laundry | Truck Parking Spaces
788,Flying J Travel Center,Flying J,Flying J Travel Center #788,4100 Portage Ave,Headingley,MB,R4H 1C5,49.87751925571946,-97.33989645630032,,,Hwy 1 & Camp Manitou Rd,150,8,14,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces
785,Flying J Travel Center,Flying J,Flying J Travel Center #785,11511 40 St SE,Calgary,AB,T2Z 4M8,50.949371985060374,-113.97976132226908,,,114 Ave SE & 40 St SE,128,8,0,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces
791,Flying J Travel Center,Flying J,Flying J Travel Center #791,3850 Idylwyld Dr N,Saskatoon,SK,S7P 0A1,52.19576739849309,-106.66856742460632,,,SK-11 & Marquis Dr,85,5,5,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces
806,Flying J Travel Center,Flying J,Flying J Travel Center #806,410 Government Rd E,Kapuskasing,ON,P5N 2X7,49.39741796949446,-82.36938324232787,,,ON-11,40,5,4,,,false,Diesel Lanes | Showers | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Pegasus | Public Laundry | Truck Parking Spaces
864,Shell Flying J Dealer,Shell Flying J Dealer,Shell Flying J Dealer #864,Jct Hwy 11 & Hwy 44,Davidson,SK,S0G 1A0,51.249696664849424,-105.97236731352257,,,SK-11 & Enterprise Ln,0,2,0,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | DEF Lanes | Lottery | Pegasus
804,Flying J Travel Center,Flying J,Flying J Travel Center #804,1747 Brookside Blvd,Winnipeg,MB,R3C 2E6,49.94156,-97.2287621,,,MB-90 & Lucas Ave,20,8,1,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | Check Cashing | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces
461,Flying J Travel Center,Flying J,Flying J Travel Center #461,19325 Essex County Rd 42,Tilbury,ON,N0P 2L0,42.26292725888837,-82.46119072023772,,56,"ON-401, Exit 56",100,6,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Lottery | Pegasus | Public Laundry | Truck Parking Spaces
