id,name,state,field,approved_value,source_file,source_sha256,master_date,evidence_directions,concurrency
eac91b9e-1cf4-491a-82b0-4441bbd6f045,TA Express Jonesboro,AR,exit_number,39,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-555, Exit 39",False
1722ae34-d370-4a32-b4d0-3ef0f6a1e6ba,TA Willcox,AZ,interstate,I-10,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, 1501 Fort Grant Rd., Exit 340",False
1722ae34-d370-4a32-b4d0-3ef0f6a1e6ba,TA Willcox,AZ,exit_number,340,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, 1501 Fort Grant Rd., Exit 340",False
249a5cf2-c5e2-44f1-9acf-b2bf69642433,Petro Eloy,AZ,interstate,I-10,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, Exit 200 at Sunland Gin Rd.",False
249a5cf2-c5e2-44f1-9acf-b2bf69642433,Petro Eloy,AZ,exit_number,200,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, Exit 200 at Sunland Gin Rd.",False
3a717f8d-0255-42a0-980d-65edf384ee7b,TA Tonopah,AZ,interstate,I-10,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10 & 339th Ave., Exit 103",False
3a717f8d-0255-42a0-980d-65edf384ee7b,TA Tonopah,AZ,exit_number,103,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10 & 339th Ave., Exit 103",False
53eac1be-8c71-41fe-852b-d6515f065b06,TA Express Littlefield,AZ,interstate,I-15,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-15, Exit 8",False
53eac1be-8c71-41fe-852b-d6515f065b06,TA Express Littlefield,AZ,exit_number,8,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-15, Exit 8",False
5868c989-c250-447d-85cf-a9838893ac86,TA Ash Fork,AZ,interstate,I-40,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-40, Exit 144, Northwest Corner",False
5868c989-c250-447d-85cf-a9838893ac86,TA Ash Fork,AZ,exit_number,144,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-40, Exit 144, Northwest Corner",False
acb31a81-5cf6-43e8-b150-6625dfa38988,Petro Kingman,AZ,interstate,I-40,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-40 at Blake Ranch Rd., Exit 66",False
acb31a81-5cf6-43e8-b150-6625dfa38988,Petro Kingman,AZ,exit_number,66,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-40 at Blake Ranch Rd., Exit 66",False
de5add61-864c-41ee-9997-341c3c60a9b6,TA Holbrook,AZ,interstate,I-40,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-40, Exit 283",False
de5add61-864c-41ee-9997-341c3c60a9b6,TA Holbrook,AZ,exit_number,283,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-40, Exit 283",False
ed302d2a-630e-48b8-8f94-7b9e75351624,TA Kingman,AZ,interstate,I-40,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-40, Exit 48",False
ed302d2a-630e-48b8-8f94-7b9e75351624,TA Kingman,AZ,exit_number,48,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-40, Exit 48",False
fbc89448-ea08-4d8c-8dfb-5aee3008f490,TA Eloy,AZ,interstate,I-10,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, Exit 203, Toltec Rd.",False
fbc89448-ea08-4d8c-8dfb-5aee3008f490,TA Eloy,AZ,exit_number,203,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-10, Exit 203, Toltec Rd.",False
2b385a1b-f950-4410-8f87-2ee4a7d5fb71,TA Wheeler Ridge,CA,interstate,I-5,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-5 @ Lake Isabella or Laval Road,False
5853847c-19b3-4623-912f-4d965355ea1e,Petro Corning,CA,interstate,I-5,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-5 at South Avenue, Exit 630",False
5853847c-19b3-4623-912f-4d965355ea1e,Petro Corning,CA,exit_number,630,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-5 at South Avenue, Exit 630",False
5c4f1bd6-e79e-48b2-8d3c-b0cf4b91b934,TA Barstow,CA,interstate,I-15,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-15 Exit 178/Lenwood Rd.,False
5c4f1bd6-e79e-48b2-8d3c-b0cf4b91b934,TA Barstow,CA,exit_number,178,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-15 Exit 178/Lenwood Rd.,False
7220877f-0b69-4559-a7aa-175ab7e82c6e,Petro Wheeler Ridge,CA,interstate,I-5,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-5 at Laval Road West,False
8a92c12c-7f82-40ca-8244-38a54f195999,TA Santa Nella,CA,interstate,I-5,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,"I-5 & Hwy 33, Santa Nella Exit",False
9c7bdf1a-fe83-41ef-a925-a73eb3c4d4a4,Petro Ontario,CA,interstate,I-10,data/imports/locmaster20260725.xlsx,5ebe0e9f034153536fe3946a3e5cc3d5a45c9a59b010131d5ccee20e21553303,2026-07-25,I-10 & Milliken Ave. Exit 57,False
